id_viaje,linea,origen,destino,horario_salida,horario_llegada,pasajeros
1,Sarmiento,Once,Merlo,04:30,05:37,120
2,Roca,Temperley,Ezeiza,08:30,10:17,744
3,Sarmiento,Castelar,Moreno,06:00,06:27,433
4,San Martín,San Miguel,Pilar,20:15,21:27,447
5,San Martín,Retiro,José C. Paz,14:00,14:32,565
6,Belgrano Sur,González Catán,Buenos Aires,17:30,18:53,139
7,Roca,Constitución,Ezeiza,07:00,07:57,544
8,Roca,Temperley,Constitución,12:45,13:32,595
9,Roca,Temperley,La Plata,06:30,07:33,488
10,Sarmiento,Once,Merlo,22:45,00:44,478
11,Sarmiento,Once,Merlo,22:45,00:09,644
12,Roca,Constitución,Temperley,16:15,18:08,336
13,Sarmiento,Moreno,Castelar,20:30,22:05,751
14,Belgrano Sur,González Catán,Marinos del Crucero,20:45,22:14,488
15,Roca,Temperley,Constitución,15:15,16:02,526
16,Sarmiento,Moreno,Merlo,12:45,13:11,533
17,Mitre,Belgrano,Tigre,10:45,12:14,450
18,Roca,Temperley,Constitución,06:30,07:31,269
19,Mitre,Tigre,Victoria,05:45,07:34,428
20,Sarmiento,Once,Merlo,18:45,19:39,529
21,Sarmiento,Castelar,Moreno,11:30,12:00,543
22,Belgrano Sur,Buenos Aires,González Catán,10:00,11:48,447
23,Mitre,Retiro,Victoria,17:45,19:24,423
24,Mitre,Victoria,Tigre,17:30,18:17,548
25,Sarmiento,Moreno,Merlo,16:45,18:01,452
26,Sarmiento,Once,Merlo,08:00,09:45,308
27,Roca,Ezeiza,Constitución,08:45,09:14,116
28,Belgrano Sur,Buenos Aires,Marinos del Crucero,18:00,19:18,748
29,Belgrano Sur,González Catán,Marinos del Crucero,15:15,15:59,389
30,Roca,Constitución,Ezeiza,05:45,06:36,289
31,Roca,Temperley,Constitución,21:00,21:24,293
32,Roca,La Plata,Ezeiza,10:15,11:40,511
33,Belgrano Sur,Marinos del Crucero,González Catán,09:45,10:57,527
34,Belgrano Sur,Marinos del Crucero,Buenos Aires,20:45,22:38,343
35,Belgrano Sur,Marinos del Crucero,Buenos Aires,18:00,18:21,347
36,Mitre,Belgrano,Retiro,15:30,17:18,212
37,Mitre,Retiro,Belgrano,15:00,16:19,123
38,Belgrano Sur,Buenos Aires,González Catán,13:15,14:28,205
39,Sarmiento,Merlo,Moreno,12:00,13:53,483
40,Roca,Constitución,Temperley,20:45,21:54,494
41,San Martín,Retiro,José C. Paz,16:00,16:55,704
42,Roca,Constitución,Ezeiza,22:45,00:24,404
43,Mitre,Belgrano,Victoria,15:45,17:33,274
44,Belgrano Sur,Marinos del Crucero,Buenos Aires,16:15,17:12,123
45,San Martín,José C. Paz,Pilar,04:30,05:02,161
46,Belgrano Sur,Buenos Aires,Marinos del Crucero,07:45,08:16,416
47,San Martín,José C. Paz,Pilar,06:15,06:49,649
48,Sarmiento,Moreno,Once,09:00,10:09,239
49,Mitre,Victoria,Tigre,15:15,15:44,720
50,Belgrano Sur,González Catán,Marinos del Crucero,07:15,08:23,501
51,Belgrano Sur,Buenos Aires,González Catán,16:45,17:30,622
52,Sarmiento,Moreno,Castelar,04:45,06:20,388
53,Roca,La Plata,Temperley,05:00,06:25,353
54,Roca,Temperley,La Plata,04:00,04:26,241
